ontology_curie,biosample_name,biosample_type,gtex_tissue
EFO:0005696,D721Med,cell_line,
EFO:0007074,DND-41,cell_line,
EFO:0002167,DOHH2,cell_line,
EFO:0005441,DU 145,cell_line,
EFO:0005698,Daoy,cell_line,
EFO:0005698,Daoy,cell_line,
EFO:0007748,EH,cell_line,
EFO:0007749,EL,cell_line,
EFO:0005901,ELF-1,cell_line,
EFO:0007750,ELR,cell_line,
EFO:0007076,ES-I3,cell_line,
EFO:0002179,G401,cell_line,
EFO:0002179,G401,cell_line,
CLO:0016536,GM03348,cell_line,
CLO:0018813,GM04503,cell_line,
CLO:0018812,GM04504,cell_line,
EFO:0002783,GM06990,cell_line,
EFO:0005333,GM08714,cell_line,
EFO:0005336,GM10847,cell_line,
EFO:0005337,GM12864,cell_line,
EFO:0005338,GM12865,cell_line,
EFO:0001159,GM12872,cell_line,
EFO:0001160,GM12873,cell_line,
EFO:0001161,GM12874,cell_line,
EFO:0001162,GM12875,cell_line,
EFO:0002784,GM12878,cell_line,
EFO:0002784,GM12878,cell_line,
EFO:0002785,GM12891,cell_line,
EFO:0002785,GM12891,cell_line,
EFO:0002786,GM12892,cell_line,
EFO:0002786,GM12892,cell_line,
EFO:0005345,GM13976,cell_line,
EFO:0005347,GM15510,cell_line,
CLO:0024937,GM18498,cell_line,
CLO:0024933,GM18499,cell_line,
EFO:0005332,GM18505,cell_line,
CLO:0024919,GM18508,cell_line,
CLO:0024877,GM18511,cell_line,
CLO:0024890,GM18517,cell_line,
CLO:0024886,GM18519,cell_line,
CLO:0024898,GM18520,cell_line,
EFO:0005348,GM18526,cell_line,
CLO:0026258,GM18858,cell_line,
CLO:0026256,GM18861,cell_line,
CLO:0026250,GM18867,cell_line,
CLO:0026253,GM18868,cell_line,
CLO:0026249,GM18870,cell_line,
CLO:0026245,GM18873,cell_line,
CLO:0026238,GM18907,cell_line,
EFO:0005349,GM18951,cell_line,
EFO:0010835,GM19023,cell_line,
EFO:0010836,GM19025,cell_line,
CLO:0025816,GM19035,cell_line,
EFO:0010837,GM19043,cell_line,
EFO:0005350,GM19099,cell_line,
EFO:0005351,GM19193,cell_line,
EFO:0002788,GM19238,cell_line,
EFO:0002789,GM19239,cell_line,
EFO:0002790,GM19240,cell_line,
CLO:0027443,GM19324,cell_line,
CLO:0027445,GM19328,cell_line,
CLO:0027432,GM19351,cell_line,
CLO:0027429,GM19372,cell_line,
CLO:0026790,GM19395,cell_line,
CLO:0026782,GM19397,cell_line,
CLO:0026824,GM19438,cell_line,
CLO:0026846,GM19452,cell_line,
CLO:0026863,GM19455,cell_line,
CLO:0026874,GM19463,cell_line,
CLO:0026877,GM19467,cell_line,
EFO:0005352,GM20000,cell_line,
CLO:0015908,GM21360,cell_line,
CLO:0015900,GM21367,cell_line,
CLO:0015895,GM21381,cell_line,
CLO:0015884,GM21390,cell_line,
CLO:0015947,GM21423,cell_line,
CLO:0014163,GM21447,cell_line,
EFO:0010838,GM21515,cell_line,
CLO:0014083,GM21526,cell_line,
CLO:0014080,GM21528,cell_line,
CLO:0014078,GM21529,cell_line,
CLO:0014097,GM21576,cell_line,
CLO:0013950,GM21619,cell_line,
CLO:0014043,GM21717,cell_line,
CLO:0014886,GM21723,cell_line,
EFO:0010839,GM21737,cell_line,
EFO:0010840,GM21786,cell_line,
CLO:0014941,GM21825,cell_line,
EFO:0005723,GM23248,cell_line,
EFO:0005723,GM23248,cell_line,
EFO:0007950,GM23338,cell_line,
EFO:0007950,GM23338,cell_line,
EFO:0009747,GM25256,in_vitro_differentiated_cells,
EFO:0003042,H1,cell_line,
EFO:0003042,H1,cell_line,
EFO:0003042,H1-hESC,cell_line,
EFO:0002184,H4,cell_line,
EFO:0002184,H4,cell_line,
EFO:0002782,H54,cell_line,
EFO:0005904,H7,cell_line,
EFO:0005904,H7,cell_line,
EFO:0003045,H9,cell_line,
EFO:0003045,H9,cell_line,
EFO:0007598,HAP-1,cell_line,
EFO:0009500,HCEC 1CT,cell_line,
EFO:0002824,HCT116,cell_line,
EFO:0002824,HCT116,cell_line,
EFO:0001182,HEK293,cell_line,
EFO:0001184,HEK293T,cell_line,
EFO:0005710,HFF-Myc,cell_line,
EFO:0009318,HFFc6,cell_line,
EFO:0009318,HFFc6,cell_line,
EFO:0010841,HG02571,cell_line,
EFO:0010842,HG02588,cell_line,
EFO:0010843,HG02610,cell_line,
EFO:0010844,HG02623,cell_line,
EFO:0010846,HG02678,cell_line,
EFO:0010847,HG02759,cell_line,
EFO:0010848,HG02763,cell_line,
EFO:0010850,HG02840,cell_line,
EFO:0010851,HG02852,cell_line,
EFO:0010852,HG02870,cell_line,
EFO:0010853,HG02884,cell_line,
EFO:0010855,HG02938,cell_line,
EFO:0010856,HG02943,cell_line,
EFO:0010857,HG02970,cell_line,
EFO:0010858,HG02973,cell_line,
EFO:0010859,HG02981,cell_line,
EFO:0010860,HG03025,cell_line,
EFO:0010861,HG03039,cell_line,
EFO:0010862,HG03045,cell_line,
EFO:0010863,HG03060,cell_line,
EFO:0010864,HG03064,cell_line,
EFO:0010865,HG03066,cell_line,
EFO:0010866,HG03095,cell_line,
EFO:0010867,HG03097,cell_line,
EFO:0010868,HG03103,cell_line,
EFO:0010869,HG03108,cell_line,
EFO:0010870,HG03135,cell_line,
EFO:0010871,HG03139,cell_line,
EFO:0010872,HG03159,cell_line,
EFO:0010873,HG03175,cell_line,
EFO:0010874,HG03196,cell_line,
EFO:0010875,HG03280,cell_line,
EFO:0010876,HG03342,cell_line,
EFO:0010878,HG03378,cell_line,
EFO:0010879,HG03432,cell_line,
EFO:0010880,HG03439,cell_line,
EFO:0010881,HG03442,cell_line,
EFO:0010882,HG03457,cell_line,
EFO:0010883,HG03460,cell_line,
EFO:0010884,HG03469,cell_line,
EFO:0010885,HG03520,cell_line,
EFO:0010886,HG03521,cell_line,
EFO:0010888,HG03565,cell_line,
EFO:0010889,HG03571,cell_line,
CLO:0003771,HK-2,cell_line,
EFO:0002793,HL-60,cell_line,
EFO:0005283,HS-27A,cell_line,
EFO:0005282,HS-5,cell_line,
EFO:0001193,HT-29,cell_line,
EFO:0001193,HT-29,cell_line,
EFO:0002059,HT1080,cell_line,
EFO:0002059,HT1080,cell_line,
EFO:0005709,HTR-8/SVneo,cell_line,
EFO:0007083,HUES48,cell_line,
EFO:0007086,HUES6,cell_line,
EFO:0007089,HUES64,cell_line,
EFO:0007089,HUES64,cell_line,
EFO:0002791,HeLa-S3,cell_line,
EFO:0002791,HeLa-S3,cell_line,
EFO:0001187,HepG2,cell_line,
EFO:0001187,HepG2,cell_line,
EFO:0005384,HuH-7,cell_line,
EFO:0005704,HuH-7.5,cell_line,
EFO:0001196,IMR-90,cell_line,
EFO:0001196,IMR-90,cell_line,
CL:0001053,IgD-negative memory B cell,primary_cell,
EFO:0005718,Ishikawa,cell_line,
EFO:0002796,Jurkat,cell_line,
CLO:0007045,"Jurkat, Clone E6-1",cell_line,
CLO:0007045,"Jurkat, Clone E6-1",cell_line,
EFO:0002067,K562,cell_line,
EFO:0002067,K562,cell_line,
EFO:0005903,KBM-7,cell_line,
EFO:0005694,KMS-11,cell_line,
EFO:0006283,KOPT-K1,cell_line,
EFO:0005719,Karpas-422,cell_line,
EFO:0005719,Karpas-422,cell_line,
EFO:0007599,L1-S8,cell_line,
EFO:0007600,L1-S8R,cell_line,
EFO:0005714,LHCN-M2,cell_line,
EFO:0005714,LHCN-M2,cell_line,
EFO:0002071,LNCAP,cell_line,
EFO:0005726,LNCaP clone FGC,cell_line,
CL:0000453,Langerhans cell,primary_cell,
EFO:0006639,LoVo,cell_line,
EFO:0007112,Loucy,cell_line,
EFO:0005697,M059J,cell_line,
EFO:0005697,M059J,cell_line,
EFO:0001200,MCF 10A,cell_line,
EFO:0001200,MCF 10A,cell_line,
EFO:0001203,MCF-7,cell_line,
EFO:0001203,MCF-7,cell_line,
EFO:0002234,MG63,cell_line,
EFO:0002234,MG63,cell_line,
EFO:0005724,MM.1S,cell_line,
EFO:0002246,NAMALWA,cell_line,
EFO:0002798,NB4,cell_line,
EFO:0002285,NCI-H226,cell_line,
EFO:0003044,NCI-H460,cell_line,
EFO:0003044,NCI-H460,cell_line,
EFO:0001221,NCI-H929,cell_line,
EFO:0005236,NT2/D1,cell_line,
EFO:0005907,OCI-LY1,cell_line,
EFO:0006710,OCI-LY3,cell_line,
EFO:0006711,OCI-LY7,cell_line,
EFO:0006711,OCI-LY7,cell_line,
EFO:0002074,PC-3,cell_line,
EFO:0002074,PC-3,cell_line,
EFO:0002847,PC-9,cell_line,
EFO:0002847,PC-9,cell_line,
EFO:0005234,PFSK-1,cell_line,
EFO:0005234,PFSK-1,cell_line,
EFO:0002713,Panc1,cell_line,
EFO:0002713,Panc1,cell_line,
UBERON:0001211,Peyer's patch,tissue,Small_Intestine_Terminal_Ileum
UBERON:0001211,Peyer's patch,tissue,
UBERON:0001211,Peyer's patch,tissue,
CL:0000121,Purkinje cell,primary_cell,
EFO:0000681,RCC,cell_line,
EFO:0005707,RCC 7860,cell_line,
EFO:0001232,RKO,cell_line,
EFO:0005712,RPMI7951,cell_line,
EFO:0005712,RPMI7951,cell_line,
EFO:0002322,RPMI8226,cell_line,
EFO:0002323,RWPE1,cell_line,
EFO:0007610,RWPE2,cell_line,
EFO:0002324,Raji,cell_line,
NTR:0000491,Right ventricle myocardium inferior,tissue,
NTR:0000491,Right ventricle myocardium inferior,tissue,
NTR:0000492,Right ventricle myocardium superior,tissue,
NTR:0000492,Right ventricle myocardium superior,tissue,
EFO:0002717,SH-SY5Y,cell_line,
EFO:0005722,SJCRH30,cell_line,
EFO:0005722,SJCRH30,cell_line,
EFO:0002330,SJSA1,cell_line,
EFO:0002330,SJSA1,cell_line,
EFO:0005720,SK-MEL-5,cell_line,
EFO:0005720,SK-MEL-5,cell_line,
EFO:0005721,SK-N-DZ,cell_line,
EFO:0005721,SK-N-DZ,cell_line,
EFO:0002860,SK-N-MC,cell_line,
EFO:0003072,SK-N-SH,cell_line,
EFO:0003072,SK-N-SH,cell_line,
EFO:0002357,SU-DHL-6,cell_line,
EFO:0002083,SW480,cell_line,
CL:0002573,Schwann cell,primary_cell,
CL:0000216,Sertoli cell,primary_cell,
CL:0002038,T follicular helper cell,primary_cell,
CL:0000084,T-cell,primary_cell,
CL:0000084,T-cell,primary_cell,
CL:0000545,T-helper 1 cell,primary_cell,
CL:0000899,T-helper 17 cell,primary_cell,
CL:0000899,T-helper 17 cell,primary_cell,
CL:0000546,T-helper 2 cell,primary_cell,
CL:0001042,T-helper 22 cell,primary_cell,
CL:0002061,T-helper 9 cell,primary_cell,
EFO:0001247,T47D,cell_line,
EFO:0001253,THP-1,cell_line,
EFO:0005237,U-87 MG,cell_line,
EFO:0007116,UCSF-4,cell_line,
EFO:0007752,VCaP,cell_line,
EFO:0005715,WERI-Rb-1,cell_line,
EFO:0001260,WI38,cell_line,
EFO:0009747,WTC11,cell_line,
EFO:0009747,WTC11,cell_line,
CL:0002623,acinar cell of salivary gland,primary_cell,
CL:0002140,acinar cell of sebaceous gland,primary_cell,
CL:0000136,adipocyte,in_vitro_differentiated_cells,
CL:0002617,adipocyte of breast,primary_cell,
CL:0002615,adipocyte of omentum tissue,primary_cell,
UBERON:0001013,adipose tissue,tissue,
UBERON:0001013,adipose tissue,tissue,
UBERON:0002369,adrenal gland,tissue,
UBERON:0002369,adrenal gland,tissue,
UBERON:0002369,adrenal gland,tissue,Adrenal_Gland
UBERON:0007023,adult organism,primary_cell,
CL:0002368,airway epithelial cell,primary_cell,
UBERON:0000305,amnion,tissue,
UBERON:0000305,amnion,primary_cell,
UBERON:0000305,amnion,tissue,
CL:0002537,amnion mesenchymal stem cell,primary_cell,
CL:0002536,amniotic epithelial cell,primary_cell,
UBERON:0001876,amygdala,tissue,Brain_Amygdala
UBERON:0001876,amygdala,tissue,
UBERON:0002686,angular gyrus,tissue,
CL:0002602,annulus pulposus cell,primary_cell,
UBERON:0009835,anterior cingulate cortex,tissue,Brain_Anterior_cingulate_cortex_BA24
UBERON:0006330,anterior lingual gland,tissue,Minor_Salivary_Gland
UBERON:0000947,aorta,tissue,
UBERON:0000947,aorta,tissue,
CL:0002544,aortic endothelial cell,primary_cell,
CL:0002539,aortic smooth muscle cell,primary_cell,
CL:0002539,aortic smooth muscle cell,primary_cell,
UBERON:0001637,artery,tissue,
CL:2000007,articular chondrocyte of knee joint,primary_cell,
UBERON:0001496,ascending aorta,tissue,
UBERON:0001496,ascending aorta,tissue,
UBERON:0001496,ascending aorta,tissue,Artery_Aorta
CL:0000127,astrocyte,primary_cell,
CL:0000127,astrocyte,primary_cell,
CL:0002603,astrocyte of the cerebellum,primary_cell,
CL:0002605,astrocyte of the cerebral cortex,primary_cell,
CL:0002604,astrocyte of the hippocampus,primary_cell,
CL:0002606,astrocyte of the spinal cord,primary_cell,
CL:0000767,basophil,primary_cell,
UBERON:0002394,bile duct,tissue,
CL:2000040,bladder microvascular endothelial cell,primary_cell,
UBERON:0000178,blood,primary_cell,
UBERON:0001150,body of pancreas,tissue,Pancreas
UBERON:0001150,body of pancreas,tissue,
UBERON:0001150,body of pancreas,tissue,
UBERON:0002371,bone marrow,tissue,
CL:0002092,bone marrow cell,primary_cell,
UBERON:0000955,brain,tissue,
UBERON:0000955,brain,organoid,
UBERON:0000955,brain,tissue,
CL:2000044,brain microvascular endothelial cell,primary_cell,
CL:2000043,brain pericyte,primary_cell,
UBERON:0000310,breast,tissue,
UBERON:0008367,breast epithelium,tissue,Breast_Mammary_Tissue
UBERON:0008367,breast epithelium,tissue,
UBERON:0008367,breast epithelium,tissue,
CL:0002328,bronchial epithelial cell,primary_cell,
CL:0002328,bronchial epithelial cell,primary_cell,
CL:0002598,bronchial smooth muscle cell,primary_cell,
CL:0002598,bronchial smooth muscle cell,primary_cell,
CL:2000093,bronchus fibroblast of lung,primary_cell,
UBERON:0003701,calcaneal tendon,tissue,
UBERON:0000019,camera-type eye,tissue,
UBERON:0000019,camera-type eye,tissue,
CL:0002144,capillary endothelial cell,primary_cell,
CL:2000067,cardiac atrium fibroblast,primary_cell,
CL:0002548,cardiac fibroblast,primary_cell,
CL:0000569,cardiac mesenchymal cell,primary_cell,
CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,
CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,
CL:0000746,cardiac muscle cell,primary_cell,
UBERON:0002099,cardiac septum,tissue,
UBERON:0002099,cardiac septum,tissue,
CL:2000066,cardiac ventricle fibroblast,primary_cell,
UBERON:0001873,caudate nucleus,tissue,Brain_Caudate_basal_ganglia
UBERON:0001873,caudate nucleus,tissue,
CL:0000188,cell of skeletal muscle,primary_cell,
CL:0000904,"central memory CD4-positive, alpha-beta T cell",primary_cell,
CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,
CL:0002575,central nervous system pericyte,primary_cell,
UBERON:0002129,cerebellar cortex,tissue,
UBERON:0002245,cerebellar hemisphere,tissue,Brain_Cerebellar_Hemisphere
UBERON:0002037,cerebellum,tissue,Brain_Cerebellum
UBERON:0002037,cerebellum,tissue,
UBERON:0002037,cerebellum,tissue,
UBERON:0001359,cerebrospinal fluid,tissue,
CL:0000138,chondrocyte,in_vitro_differentiated_cells,
CL:0000138,chondrocyte,primary_cell,
CL:0000138,chondrocyte,in_vitro_differentiated_cells,
UBERON:0003124,chorion,tissue,
UBERON:0003124,chorion,tissue,
UBERON:0007106,chorionic villus,tissue,
UBERON:0007106,chorionic villus,tissue,
CL:0000706,choroid plexus epithelial cell,primary_cell,
UBERON:0002967,cingulate gyrus,tissue,
UBERON:0001155,colon,tissue,
UBERON:0000317,colonic mucosa,tissue,
UBERON:0000317,colonic mucosa,tissue,
CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,
CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,
CL:0000575,corneal epithelial cell,primary_cell,
UBERON:0001621,coronary artery,tissue,Artery_Coronary
UBERON:0001621,coronary artery,tissue,
UBERON:0002336,corpus callosum,tissue,
UBERON:0001225,cortex of kidney,tissue,Kidney_Cortex
UBERON:0000941,cranial nerve II,tissue,
UBERON:0006659,cruciate ligament of knee,tissue,
CL:0002566,dark melanocyte,primary_cell,
CL:2000010,dermis blood vessel endothelial cell,primary_cell,
CL:2000010,dermis blood vessel endothelial cell,primary_cell,
CL:2000011,dermis lymphatic vessel endothelial cell,primary_cell,
CL:2000041,dermis microvascular lymphatic vessel endothelial cell,primary_cell,
CL:2000041,dermis microvascular lymphatic vessel endothelial cell,primary_cell,
UBERON:0001103,diaphragm,tissue,
UBERON:0001894,diencephalon,tissue,
UBERON:0001894,diencephalon,tissue,
UBERON:0001897,dorsal plus ventral thalamus,tissue,
UBERON:0009834,dorsolateral prefrontal cortex,tissue,Brain_Frontal_Cortex_BA9
UBERON:0009834,dorsolateral prefrontal cortex,tissue,
UBERON:0009834,dorsolateral prefrontal cortex,tissue,
UBERON:0000320,duodenal mucosa,tissue,
UBERON:0002114,duodenum,tissue,
UBERON:0002363,dura mater,tissue,
NTR:0000474,ecto neural progenitor cell,in_vitro_differentiated_cells,
UBERON:0012249,ectocervix,tissue,Cervix_Ectocervix
CL:0000221,ectodermal cell,in_vitro_differentiated_cells,
CL:0000221,ectodermal cell,in_vitro_differentiated_cells,
CL:0001044,"effector CD4-positive, alpha-beta T cell",primary_cell,
CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,
CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,
UBERON:0000920,egg chorion,primary_cell,
UBERON:0005795,embryonic uterus,tissue,
UBERON:0000458,endocervix,tissue,Cervix_Endocervix
UBERON:0000016,endocrine pancreas,tissue,
UBERON:0000016,endocrine pancreas,tissue,
CL:0000223,endodermal cell,in_vitro_differentiated_cells,
CL:0000223,endodermal cell,in_vitro_differentiated_cells,
CL:0000115,endothelial cell,in_vitro_differentiated_cells,
CL:0000115,endothelial cell,in_vitro_differentiated_cells,
CL:1000413,endothelial cell of artery,primary_cell,
CL:2000018,endothelial cell of coronary artery,primary_cell,
CL:0002138,endothelial cell of lymphatic vessel,primary_cell,
CL:0002618,endothelial cell of umbilical vein,primary_cell,
CL:0002618,endothelial cell of umbilical vein,primary_cell,
CL:0002504,enteric smooth muscle cell,primary_cell,
CL:0000771,eosinophil,primary_cell,
CL:2000000,epidermal melanocyte,primary_cell,
UBERON:0001301,epididymis,tissue,
CL:0002166,epithelial cell of Malassez,primary_cell,
CL:0010003,epithelial cell of alveolus of lung,primary_cell,
CL:0002252,epithelial cell of esophagus,primary_cell,
CL:0002231,epithelial cell of prostate,primary_cell,
CL:0002306,epithelial cell of proximal tubule,primary_cell,
CL:0002306,epithelial cell of proximal tubule,primary_cell,
CL:0010002,epithelial cell of umbilical artery,primary_cell,
CL:0000765,erythroblast,primary_cell,
UBERON:0001043,esophagus,tissue,
UBERON:0001043,esophagus,tissue,
UBERON:0002469,esophagus mucosa,tissue,
UBERON:0002469,esophagus mucosa,tissue,
UBERON:0004648,esophagus muscularis mucosa,tissue,
UBERON:0004648,esophagus muscularis mucosa,tissue,Esophagus_Muscularis
UBERON:0004648,esophagus muscularis mucosa,tissue,
UBERON:0006920,esophagus squamous epithelium,tissue,Esophagus_Mucosa
UBERON:0006920,esophagus squamous epithelium,tissue,
UBERON:0006920,esophagus squamous epithelium,tissue,
UBERON:0000970,eye,tissue,
UBERON:0003889,fallopian tube,tissue,Fallopian_Tube
UBERON:0003889,fallopian tube,tissue,
CL:0000136,fat cell,primary_cell,
UBERON:0000992,female gonad,tissue,
UBERON:0000981,femur,tissue,
EFO:0002009,fibroblast derived cell line,tissue,Cells_Cultured_fibroblasts
NTR:0003079,fibroblast of breast,primary_cell,
CL:0002549,fibroblast of choroid plexus,primary_cell,
CL:0002551,fibroblast of dermis,primary_cell,
CL:0002551,fibroblast of dermis,primary_cell,
CL:0002552,fibroblast of gingiva,primary_cell,
CL:0002553,fibroblast of lung,primary_cell,
CL:0002553,fibroblast of lung,primary_cell,
CL:0002554,fibroblast of lymphatic vessel,primary_cell,
CL:0002555,fibroblast of mammary gland,primary_cell,
CL:2000017,fibroblast of peridontal ligament,primary_cell,
CL:0002556,fibroblast of periodontium,primary_cell,
CL:0002557,fibroblast of pulmonary artery,primary_cell,
CL:2000013,fibroblast of skin of abdomen,primary_cell,
CL:2000013,fibroblast of skin of abdomen,primary_cell,
CL:0011022,fibroblast of skin of back,primary_cell,
CL:0011022,fibroblast of skin of back,primary_cell,
NTR:0000521,fibroblast of skin of left biceps,primary_cell,
NTR:0000522,fibroblast of skin of left quadriceps,primary_cell,
NTR:0000525,fibroblast of skin of right biceps,primary_cell,
NTR:0000523,fibroblast of skin of right quadriceps,primary_cell,
NTR:0000524,fibroblast of skin of scalp,primary_cell,
NTR:0000524,fibroblast of skin of scalp,primary_cell,
CL:0002547,fibroblast of the aortic adventitia,primary_cell,
CL:0002547,fibroblast of the aortic adventitia,primary_cell,
CL:0002550,fibroblast of the conjuctiva,primary_cell,
CL:0002550,fibroblast of the conjunctiva,primary_cell,
CL:0011021,fibroblast of upper back skin,primary_cell,
CL:0002558,fibroblast of villous mesenchyme,primary_cell,
CL:0002558,fibroblast of villous mesenchyme,primary_cell,
UBERON:0003662,forelimb muscle,tissue,
UBERON:0003662,forelimb muscle,tissue,
CL:1001608,foreskin fibroblast,primary_cell,
CL:1001608,foreskin fibroblast,primary_cell,
CL:1001606,foreskin keratinocyte,primary_cell,
CL:1001606,foreskin keratinocyte,primary_cell,
CL:2000045,foreskin melanocyte,primary_cell,
CL:2000045,foreskin melanocyte,primary_cell,
UBERON:0001870,frontal cortex,tissue,
UBERON:0001870,frontal cortex,tissue,
UBERON:0001870,frontal cortex,tissue,Brain_Cortex
UBERON:0002448,fungiform papilla,tissue,
UBERON:0002110,gallbladder,tissue,
CL:0000798,gamma-delta T cell,primary_cell,
UBERON:0011907,gastrocnemius medialis,tissue,
UBERON:0011907,gastrocnemius medialis,tissue,
UBERON:0011907,gastrocnemius medialis,tissue,Muscle_Skeletal
UBERON:0004550,gastroesophageal sphincter,tissue,Esophagus_Gastroesophageal_Junction
UBERON:0004550,gastroesophageal sphincter,tissue,
UBERON:0004550,gastroesophageal sphincter,tissue,
NTR:0001407,germinal matrix,tissue,
CL:0002621,gingival epithelial cell,primary_cell,
UBERON:0001875,globus pallidus,tissue,
CL:0002188,glomerular endothelial cell,primary_cell,
CL:0002188,glomerular endothelial cell,primary_cell,
CL:0000653,glomerular visceral epithelial cell,primary_cell,
CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,
CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,
CL:0000346,hair follicle dermal papilla cell,primary_cell,
CL:2000092,hair follicular keratinocyte,primary_cell,
UBERON:0002626,head of caudate nucleus,tissue,
UBERON:0000948,heart,tissue,
UBERON:0000948,heart,tissue,
UBERON:0002084,heart left ventricle,tissue,
UBERON:0002084,heart left ventricle,tissue,
UBERON:0002080,heart right ventricle,tissue,
UBERON:0002080,heart right ventricle,tissue,
CL:0000837,hematopoietic multipotent progenitor cell,in_vitro_differentiated_cells,
CL:0000837,hematopoietic multipotent progenitor cell,in_vitro_differentiated_cells,
CL:0002571,hepatic mesenchymal stem cell,primary_cell,
CL:0000632,hepatic stellate cell,primary_cell,
CL:0000182,hepatocyte,primary_cell,
CL:0000182,hepatocyte,in_vitro_differentiated_cells,
CL:0000182,hepatocyte,in_vitro_differentiated_cells,
UBERON:0003663,hindlimb muscle,tissue,
UBERON:0003663,hindlimb muscle,tissue,
UBERON:0001898,hypothalamus,tissue,Brain_Hypothalamus
EFO:0007096,iPS DF 19.11,cell_line,
EFO:0007098,iPS DF 6.9,cell_line,
EFO:0007099,iPS-11a,cell_line,
EFO:0007102,iPS-15b,cell_line,
EFO:0007105,iPS-18a,cell_line,
EFO:0007107,iPS-18c,cell_line,
EFO:0007108,iPS-20b,cell_line,
EFO:0007952,iPS-NIHi11,cell_line,
CL:0001016,immature CD1a-positive Langerhans cell,primary_cell,
CL:0000840,immature conventional dendritic cell,primary_cell,
CL:0000823,immature natural killer cell,primary_cell,
CL:0000823,immature natural killer cell,primary_cell,
UBERON:0006322,inferior rectus extraocular muscle,tissue,
CL:0000863,inflammatory macrophage,primary_cell,
UBERON:0002022,insula,tissue,
CL:0002563,intestinal epithelial cell,primary_cell,
CL:0002565,iris pigment epithelial cell,primary_cell,
NTR:0001484,islet precursor cell,in_vitro_differentiated_cells,
CL:0000312,keratinocyte,primary_cell,
CL:0000312,keratinocyte,primary_cell,
CL:0002363,keratocyte,primary_cell,
UBERON:0002113,kidney,tissue,
UBERON:0002113,kidney,tissue,
CL:1000892,kidney capillary endothelial cell,primary_cell,
CL:0002518,kidney epithelial cell,primary_cell,
CL:0002518,kidney epithelial cell,primary_cell,
CL:1000507,kidney tubule cell,primary_cell,
UBERON:0000059,large intestine,tissue,
UBERON:0000059,large intestine,tissue,
UBERON:0001603,lateral rectus extra-ocular muscle,tissue,
UBERON:0002305,layer of hippocampus,tissue,
UBERON:0002079,left cardiac atrium,tissue,
UBERON:0002079,left cardiac atrium,tissue,
UBERON:0008971,left colon,tissue,
