ontology_curie,biosample_name,biosample_type,gtex_tissue
CL:0002518,kidney epithelial cell,primary_cell,
UBERON:0000059,large intestine,tissue,
UBERON:0000059,large intestine,tissue,
UBERON:0002305,layer of hippocampus,tissue,
UBERON:0002305,layer of hippocampus,tissue,
NTR:0000646,left cerebral cortex,tissue,
NTR:0000646,left cerebral cortex,tissue,
CL:0000708,leptomeningeal cell,primary_cell,
NTR:0000714,leukemia stem cell,primary_cell,
UBERON:0002101,limb,tissue,
UBERON:0002101,limb,tissue,
UBERON:0002107,liver,tissue,
UBERON:0002107,liver,tissue,
UBERON:0002048,lung,tissue,
UBERON:0002048,lung,tissue,
CL:0000945,lymphocyte of B lineage,cell_line,
CL:0000235,macrophage,primary_cell,
CL:0000235,macrophage,primary_cell,
UBERON:0001911,mammary gland,tissue,
UBERON:0001911,mammary gland,tissue,
UBERON:0001896,medulla oblongata,tissue,
CL:0000556,megakaryocyte,primary_cell,
CL:0000556,megakaryocyte,primary_cell,
CL:0000553,megakaryocyte progenitor cell,primary_cell,
CL:0000553,megakaryocyte progenitor cell,primary_cell,
CL:0000050,megakaryocyte-erythroid progenitor cell,primary_cell,
CL:0002540,mesenchymal stem cell of the bone marrow,primary_cell,
UBERON:0000926,mesoderm,tissue,
CL:0000129,microglial cell,primary_cell,
UBERON:0001891,midbrain,tissue,
UBERON:0001891,midbrain,tissue,
CL:0000576,monocyte,primary_cell,
CL:0000576,monocyte,primary_cell,
EFO:0004038,mouse embryonic stem cell,cell_line,
UBERON:0000468,multi-cellular organism,tissue,
CL:0000355,multi-potent skeletal muscle stem cell,primary_cell,
CL:0000187,myocyte,in_vitro_differentiated_cells,
CL:0000187,myocyte,in_vitro_differentiated_cells,
CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,
CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,
CL:0002679,natural helper lymphocyte,primary_cell,
CL:0000623,natural killer cell,primary_cell,
UBERON:0001049,neural tube,tissue,
UBERON:0001049,neural tube,tissue,
CL:0002609,neuron of cerebral cortex,primary_cell,
CL:0002611,neuron of the dorsal spinal cord,primary_cell,
CL:0002614,neuron of the substantia nigra,primary_cell,
CL:0002612,neuron of the ventral spinal cord,primary_cell,
CL:0000775,neutrophil,primary_cell,
UBERON:0002264,olfactory bulb,tissue,
UBERON:0002264,olfactory bulb,tissue,
UBERON:0005366,olfactory lobe,tissue,
CL:0000207,olfactory receptor cell,primary_cell,
CL:0002490,organ of Corti supporting cell,primary_cell,
UBERON:0000992,ovary,tissue,
UBERON:0000992,ovary,tissue,
UBERON:0000993,oviduct,tissue,
UBERON:0001264,pancreas,tissue,
UBERON:0001264,pancreas,tissue,
UBERON:0000011,parasympathetic nervous system,primary_cell,
UBERON:0000007,pituitary gland,tissue,
UBERON:0001987,placenta,tissue,
UBERON:0001987,placenta,tissue,
UBERON:0002367,prostate gland,tissue,
CL:0002610,raphe nuclei neuron,primary_cell,
CL:0000815,regulatory T cell,primary_cell,
UBERON:0000966,retina,tissue,
NTR:0000647,right cerebral cortex,tissue,
UBERON:0001343,seminiferous tubule of testis,tissue,
UBERON:0001159,sigmoid colon,tissue,
UBERON:0001134,skeletal muscle tissue,tissue,
UBERON:0001134,skeletal muscle tissue,tissue,
UBERON:0002108,small intestine,tissue,
UBERON:0002108,small intestine,tissue,
UBERON:0002240,spinal cord,tissue,
UBERON:0002106,spleen,tissue,
UBERON:0002106,spleen,tissue,
NTR:0000741,splenic B cell,primary_cell,
UBERON:0000945,stomach,tissue,
UBERON:0000945,stomach,tissue,
CL:0002613,striatum neuron,primary_cell,
UBERON:0002190,subcutaneous adipose tissue,tissue,
UBERON:0001736,submandibular gland,tissue,
UBERON:0000013,sympathetic nervous system,primary_cell,
UBERON:0001893,telencephalon,tissue,
UBERON:0000473,testis,tissue,
UBERON:0000473,testis,tissue,
UBERON:0002370,thymus,tissue,
UBERON:0002370,thymus,tissue,
UBERON:0001723,tongue,tissue,
UBERON:0001255,urinary bladder,tissue,
UBERON:0001255,urinary bladder,tissue,
UBERON:0000995,uterus,tissue,
UBERON:0000996,vagina,tissue,
UBERON:0007194,vesicular gland,tissue,
UBERON:0000411,visual cortex,tissue,
UBERON:0001040,yolk sac,tissue,
UBERON:0000014,zone of skin,tissue,
,,,
